dataset_id,source_name,url,method,file_path,file_size_bytes,status,retrieved_at_utc,notes
datagouv_privacy_csv,data.gouv.fr,https://www.data.gouv.fr/api/1/datasets/r/4896dbe0-dafa-448d-81b5-ef7fdc26ddb7,GET,datasets\social_returns_data\raw\regulation\datagouv_global_privacy_mapping.csv,31808,cached,2026-03-10T02:00:35+00:00,CSV resource listed in data.gouv.fr dataset 'Global map for personal data protection'.
datagouv_privacy_normalized_csv,data.gouv.fr,generated,LOCAL,datasets\social_returns_data\processed\regulation\datagouv_global_privacy_mapping_normalized.csv,31807,generated,2026-03-10T02:00:37+00:00,CSV normalized to comma-delimited UTF-8 output.
datagouv_privacy_xlsx,data.gouv.fr,https://www.data.gouv.fr/api/1/datasets/r/00037755-4460-421f-be37-00dedbd66994,GET,datasets\social_returns_data\raw\regulation\datagouv_global_privacy_mapping.xlsx,37115,downloaded,2026-03-10T02:00:37+00:00,XLSX resource listed in data.gouv.fr dataset 'Global map for personal data protection'.
ecipe_dte_chapter_summary,ECIPE,generated,LOCAL,datasets\social_returns_data\processed\regulation\ecipe_dte_measures_by_chapter.csv,356,generated,2026-03-10T02:00:35+00:00,Count of measures by chapter.
ecipe_dte_country_summary,ECIPE,generated,LOCAL,datasets\social_returns_data\processed\regulation\ecipe_dte_measures_by_country.csv,844,generated,2026-03-10T02:00:35+00:00,Count of measures by country.
ecipe_dte_country_year_summary,ECIPE,generated,LOCAL,datasets\social_returns_data\processed\regulation\ecipe_dte_measures_by_country_year.csv,12652,generated,2026-03-10T02:00:35+00:00,Count of measures by country-year using year parsed from Timeframe text.
ecipe_dte_measurements,ECIPE,https://ecipe.org/core/wp-admin/admin-ajax.php,POST+curl,datasets\social_returns_data\raw\regulation\ecipe_dte_measurements.csv,1525956,downloaded,2026-03-10T02:00:35+00:00,Fallback via curl after HTTP error from requests.
ecipe_dte_measurements,ECIPE,https://ecipe.org/core/wp-admin/admin-ajax.php,POST+curl,datasets\social_returns_data\raw\regulation\ecipe_dte_measurements.csv,1525956,cached,2026-03-10T02:00:35+00:00,Forced curl retry because cached/new output did not look like CSV.
oecd_anberd_i4,OECD SDMX API,"https://sdmx.oecd.org/public/rest/data/OECD.STI.STP,DSD_ANBERD@DF_ANBERDi4,1.0/.?format=csvfile",GET,datasets\social_returns_data\raw\oecd\oecd_anberd_i4.csv,22195729,downloaded,2026-03-10T02:00:38+00:00,Flow: DSD_ANBERD@DF_ANBERDi4
oecd_berd_indu,OECD SDMX API,"https://sdmx.oecd.org/public/rest/data/OECD.STI.STP,DSD_RDS_BERD@DF_BERD_INDU,1.0/.?format=csvfile",GET,datasets\social_returns_data\raw\oecd\oecd_berd_indu.csv,9974623,downloaded,2026-03-10T02:00:38+00:00,Flow: DSD_RDS_BERD@DF_BERD_INDU
oecd_berd_ma_sof,OECD SDMX API,"https://sdmx.oecd.org/public/rest/data/OECD.STI.STP,DSD_RDS_BERD@DF_BERD_MA_SOF,1.0/.?format=csvfile",GET,datasets\social_returns_data\raw\oecd\oecd_berd_ma_sof.csv,30807434,downloaded,2026-03-10T02:00:38+00:00,Flow: DSD_RDS_BERD@DF_BERD_MA_SOF
oecd_berd_ma_toe,OECD SDMX API,"https://sdmx.oecd.org/public/rest/data/OECD.STI.STP,DSD_RDS_BERD@DF_BERD_MA_TOE,1.0/.?format=csvfile",GET,datasets\social_returns_data\raw\oecd\oecd_berd_ma_toe.csv,14943576,downloaded,2026-03-10T02:00:38+00:00,Flow: DSD_RDS_BERD@DF_BERD_MA_TOE
oecd_biblio,OECD SDMX API,"https://sdmx.oecd.org/public/rest/data/OECD.STI.STP,DSD_BIBLIO@DF_BIBLIO,1.0/.?format=csvfile",GET,datasets\social_returns_data\raw\oecd\oecd_biblio.csv,196887666,downloaded,2026-03-10T02:00:39+00:00,Flow: DSD_BIBLIO@DF_BIBLIO
oecd_download_summary,OECD,generated,LOCAL,datasets\social_returns_data\processed\oecd\oecd_download_summary.csv,1532,generated,2026-03-10T02:00:43+00:00,Quick summary of OECD downloads.
oecd_gbard_nabs07,OECD SDMX API,"https://sdmx.oecd.org/public/rest/data/OECD.STI.STP,DSD_RDS_GOV@DF_GBARD_NABS07,1.0/.?format=csvfile",GET,datasets\social_returns_data\raw\oecd\oecd_gbard_nabs07.csv,7496366,downloaded,2026-03-10T02:00:38+00:00,Flow: DSD_RDS_GOV@DF_GBARD_NABS07
oecd_gerd_toe,OECD SDMX API,"https://sdmx.oecd.org/public/rest/data/OECD.STI.STP,DSD_RDS_GERD@DF_GERD_TOE,1.0/.?format=csvfile",GET,datasets\social_returns_data\raw\oecd\oecd_gerd_toe.csv,13479164,downloaded,2026-03-10T02:00:38+00:00,Flow: DSD_RDS_GERD@DF_GERD_TOE
oecd_iptax,OECD SDMX API,"https://sdmx.oecd.org/public/rest/data/OECD.STI.STP,DSD_RDTAX@DF_IPTAX,1.0/.?format=csvfile",GET,datasets\social_returns_data\raw\oecd\oecd_iptax.csv,43652,downloaded,2026-03-10T02:00:39+00:00,Flow: DSD_RDTAX@DF_IPTAX
oecd_msti,OECD SDMX API,"https://sdmx.oecd.org/public/rest/data/OECD.STI.STP,DSD_MSTI@DF_MSTI,1.0/.?format=csvfile",GET,datasets\social_returns_data\raw\oecd\oecd_msti.csv,14882998,downloaded,2026-03-10T02:00:37+00:00,Flow: DSD_MSTI@DF_MSTI
oecd_pers_ford,OECD SDMX API,"https://sdmx.oecd.org/public/rest/data/OECD.STI.STP,DSD_RDS_PERS@DF_PERS_FORD,1.0/.?format=csvfile",GET,datasets\social_returns_data\raw\oecd\oecd_pers_ford.csv,14090471,downloaded,2026-03-10T02:00:38+00:00,Flow: DSD_RDS_PERS@DF_PERS_FORD
oecd_pers_indu,OECD SDMX API,"https://sdmx.oecd.org/public/rest/data/OECD.STI.STP,DSD_RDS_PERS@DF_PERS_INDU,1.0/.?format=csvfile",GET,datasets\social_returns_data\raw\oecd\oecd_pers_indu.csv,12081834,downloaded,2026-03-10T02:00:38+00:00,Flow: DSD_RDS_PERS@DF_PERS_INDU
oecd_rdsub,OECD SDMX API,"https://sdmx.oecd.org/public/rest/data/OECD.STI.STP,DSD_RDTAX@DF_RDSUB,1.0/.?format=csvfile",GET,datasets\social_returns_data\raw\oecd\oecd_rdsub.csv,516589,downloaded,2026-03-10T02:00:39+00:00,Flow: DSD_RDTAX@DF_RDSUB
oecd_rdtax,OECD SDMX API,"https://sdmx.oecd.org/public/rest/data/OECD.STI.STP,DSD_RDTAX@DF_RDTAX,1.0/.?format=csvfile",GET,datasets\social_returns_data\raw\oecd\oecd_rdtax.csv,2877569,downloaded,2026-03-10T02:00:38+00:00,Flow: DSD_RDTAX@DF_RDTAX
oecd_rdtax_workbook,OECD,https://oe.cd/ds/rdtax,GET,datasets\social_returns_data\raw\oecd\oecd_rdtax_workbook.xlsx,527041,downloaded,2026-03-10T02:00:43+00:00,OECD short-link download for the R&D tax support dataset workbook.
pwt100_capital_detail_xlsx,Penn World Table (GGDC),https://www.rug.nl/ggdc/docs/pwt100-capital-detail.xlsx,GET,datasets\social_returns_data\raw\pwt\pwt100_capital_detail_xlsx.xlsx,4336579,downloaded,2026-03-10T02:05:10+00:00,
pwt100_changelog_pdf,Penn World Table (GGDC),https://www.rug.nl/ggdc/docs/pwt100-changelog.pdf,GET,datasets\social_returns_data\raw\pwt\pwt100_changelog_pdf.pdf,165635,downloaded,2026-03-10T02:05:12+00:00,
pwt100_main_xlsx,Penn World Table (GGDC),https://www.rug.nl/ggdc/docs/pwt100.xlsx,GET,datasets\social_returns_data\raw\pwt\pwt100_main_xlsx.xlsx,6561820,downloaded,2026-03-10T02:04:52+00:00,
pwt100_na_data_xlsx,Penn World Table (GGDC),https://www.rug.nl/ggdc/docs/pwt100-na-data.xlsx,GET,datasets\social_returns_data\raw\pwt\pwt100_na_data_xlsx.xlsx,3091270,downloaded,2026-03-10T02:05:00+00:00,
pwt100_user_guide_pdf,Penn World Table (GGDC),https://www.rug.nl/ggdc/docs/pwt100-user-guide-to-data-files.pdf,GET,datasets\social_returns_data\raw\pwt\pwt100_user_guide_pdf.pdf,204265,downloaded,2026-03-10T02:05:11+00:00,
unctad_cyberlaw_js,UNCTAD,https://unctad.org/sites/default/files/data-file/CyberlawData.js?20250620,GET,datasets\social_returns_data\raw\regulation\unctad_cyberlaw_data.js,8355,cached,2026-03-10T02:00:33+00:00,Embedded data file used in UNCTAD cyberlaw tracker page.
unctad_cyberlaw_long,UNCTAD,generated,LOCAL,datasets\social_returns_data\processed\regulation\unctad_cyberlaw_country_long.csv,68394,generated,2026-03-10T02:00:33+00:00,Parsed long format from CyberlawData.js
unctad_cyberlaw_meta,UNCTAD,generated,LOCAL,datasets\social_returns_data\processed\regulation\unctad_cyberlaw_metadata.json,335,generated,2026-03-10T02:00:33+00:00,Parsing metadata.
unctad_cyberlaw_wide,UNCTAD,generated,LOCAL,datasets\social_returns_data\processed\regulation\unctad_cyberlaw_country_wide.csv,17514,generated,2026-03-10T02:00:33+00:00,Parsed wide format from CyberlawData.js
world_bank_wdi_BX.KLT.DINV.WD.GD.ZS,World Bank API,generated,LOCAL,datasets\social_returns_data\raw\world_bank\wdi_BX.KLT.DINV.WD.GD.ZS.csv,1978139,generated,2026-03-10T02:04:28+00:00,"Foreign direct investment, net inflows (% of GDP)"
world_bank_wdi_EN.ATM.CO2E.PC,World Bank API,generated,LOCAL,datasets\social_returns_data\raw\world_bank\wdi_EN.ATM.CO2E.PC.csv,2,generated,2026-03-10T02:04:32+00:00,CO2 emissions (metric tons per capita)
world_bank_wdi_FP.CPI.TOTL.ZG,World Bank API,generated,LOCAL,datasets\social_returns_data\raw\world_bank\wdi_FP.CPI.TOTL.ZG.csv,1651082,generated,2026-03-10T02:04:29+00:00,"Inflation, consumer prices (annual %)"
world_bank_wdi_GB.XPD.RSDV.CD,World Bank API,generated,LOCAL,datasets\social_returns_data\raw\world_bank\wdi_GB.XPD.RSDV.CD.csv,2,generated,2026-03-10T02:00:44+00:00,R&D expenditure (current US$)
world_bank_wdi_GB.XPD.RSDV.GD.ZS,World Bank API,generated,LOCAL,datasets\social_returns_data\raw\world_bank\wdi_GB.XPD.RSDV.GD.ZS.csv,1322082,generated,2026-03-10T02:00:44+00:00,R&D expenditure (% of GDP)
world_bank_wdi_IP.JRN.ARTC.SC,World Bank API,generated,LOCAL,datasets\social_returns_data\raw\world_bank\wdi_IP.JRN.ARTC.SC.csv,1551878,generated,2026-03-10T02:00:49+00:00,Scientific and technical journal articles
world_bank_wdi_IP.PAT.NRES,World Bank API,generated,LOCAL,datasets\social_returns_data\raw\world_bank\wdi_IP.PAT.NRES.csv,1371044,generated,2026-03-10T02:00:48+00:00,"Patent applications, nonresidents"
world_bank_wdi_IP.PAT.RESD,World Bank API,generated,LOCAL,datasets\social_returns_data\raw\world_bank\wdi_IP.PAT.RESD.csv,1316352,generated,2026-03-10T02:00:47+00:00,"Patent applications, residents"
world_bank_wdi_IT.CEL.SETS.P2,World Bank API,generated,LOCAL,datasets\social_returns_data\raw\world_bank\wdi_IT.CEL.SETS.P2.csv,1683382,generated,2026-03-10T02:02:13+00:00,Mobile cellular subscriptions (per 100 people)
world_bank_wdi_IT.NET.SECR.P6,World Bank API,generated,LOCAL,datasets\social_returns_data\raw\world_bank\wdi_IT.NET.SECR.P6.csv,1654946,generated,2026-03-10T02:02:11+00:00,Secure Internet servers (per 1 million people)
world_bank_wdi_IT.NET.USER.ZS,World Bank API,generated,LOCAL,datasets\social_returns_data\raw\world_bank\wdi_IT.NET.USER.ZS.csv,1664374,generated,2026-03-10T02:02:10+00:00,Individuals using the Internet (% of population)
world_bank_wdi_NE.GDI.TOTL.ZS,World Bank API,generated,LOCAL,datasets\social_returns_data\raw\world_bank\wdi_NE.GDI.TOTL.ZS.csv,1550912,generated,2026-03-10T02:02:59+00:00,Gross capital formation (% of GDP)
world_bank_wdi_NE.TRD.GNFS.ZS,World Bank API,generated,LOCAL,datasets\social_returns_data\raw\world_bank\wdi_NE.TRD.GNFS.ZS.csv,1239912,generated,2026-03-10T02:04:27+00:00,Trade (% of GDP)
world_bank_wdi_NV.IND.TOTL.ZS,World Bank API,generated,LOCAL,datasets\social_returns_data\raw\world_bank\wdi_NV.IND.TOTL.ZS.csv,1997254,generated,2026-03-10T02:04:30+00:00,"Industry (including construction), value added (% of GDP)"
world_bank_wdi_NV.SRV.TOTL.ZS,World Bank API,generated,LOCAL,datasets\social_returns_data\raw\world_bank\wdi_NV.SRV.TOTL.ZS.csv,1549193,generated,2026-03-10T02:04:32+00:00,"Services, value added (% of GDP)"
world_bank_wdi_NY.GDP.MKTP.KD,World Bank API,generated,LOCAL,datasets\social_returns_data\raw\world_bank\wdi_NY.GDP.MKTP.KD.csv,1416220,generated,2026-03-10T02:02:16+00:00,GDP (constant 2015 US$)
world_bank_wdi_NY.GDP.PCAP.KD,World Bank API,generated,LOCAL,datasets\social_returns_data\raw\world_bank\wdi_NY.GDP.PCAP.KD.csv,1609404,generated,2026-03-10T02:02:14+00:00,GDP per capita (constant 2015 US$)
world_bank_wdi_NY.GDP.PCAP.PP.KD,World Bank API,generated,LOCAL,datasets\social_returns_data\raw\world_bank\wdi_NY.GDP.PCAP.PP.KD.csv,1762395,generated,2026-03-10T02:02:59+00:00,"GDP per capita, PPP (constant 2021 intl. $)"
world_bank_wdi_SL.UEM.TOTL.ZS,World Bank API,generated,LOCAL,datasets\social_returns_data\raw\world_bank\wdi_SL.UEM.TOTL.ZS.csv,1547012,generated,2026-03-10T02:04:30+00:00,"Unemployment, total (% of labor force)"
world_bank_wdi_SP.POP.SCIE.RD.P6,World Bank API,generated,LOCAL,datasets\social_returns_data\raw\world_bank\wdi_SP.POP.SCIE.RD.P6.csv,1548195,generated,2026-03-10T02:00:45+00:00,Researchers in R&D (per million people)
world_bank_wdi_long,World Bank API,generated,LOCAL,datasets\social_returns_data\processed\world_bank\wdi_selected_indicators_long.csv,28412195,generated,2026-03-10T02:04:34+00:00,Stacked panel for selected indicators.
world_bank_wdi_metadata,World Bank API,generated,LOCAL,datasets\social_returns_data\processed\world_bank\wdi_selected_indicator_metadata.csv,1133,generated,2026-03-10T02:04:34+00:00,Indicator codebook used in this pull.
world_bank_wdi_wide,World Bank API,generated,LOCAL,datasets\social_returns_data\processed\world_bank\wdi_selected_indicators_wide.csv,2708810,generated,2026-03-10T02:04:34+00:00,Country-year wide panel for selected indicators.
