Country,year_from_timeframe,n_measures
ARGENTINA,1984,1
ARGENTINA,1990,2
ARGENTINA,1996,1
ARGENTINA,1998,1
ARGENTINA,2000,1
ARGENTINA,2001,1
ARGENTINA,2004,1
ARGENTINA,2005,1
ARGENTINA,2007,1
ARGENTINA,2009,4
ARGENTINA,2010,2
ARGENTINA,2011,3
ARGENTINA,2012,3
ARGENTINA,2013,7
ARGENTINA,2014,3
ARGENTINA,2015,2
ARGENTINA,2016,7
ARGENTINA,2017,2
ARGENTINA,2018,1
AUSTRALIA,1968,1
AUSTRALIA,1975,2
AUSTRALIA,1988,1
AUSTRALIA,1989,1
AUSTRALIA,1994,1
AUSTRALIA,1997,1
AUSTRALIA,2001,1
AUSTRALIA,2009,3
AUSTRALIA,2011,1
AUSTRALIA,2012,4
AUSTRALIA,2013,2
AUSTRALIA,2015,6
AUSTRALIA,2016,1
AUSTRALIA,2017,1
AUSTRALIA,2018,1
AUSTRIA,1975,5
AUSTRIA,1998,1
AUSTRIA,2000,1
AUSTRIA,2006,1
AUSTRIA,2010,2
AUSTRIA,2011,2
AUSTRIA,2013,1
AUSTRIA,2015,2
AUSTRIA,2016,1
AUSTRIA,2017,2
BELGIUM,1980,1
BELGIUM,1990,1
BELGIUM,1992,2
BELGIUM,1998,1
BELGIUM,2005,2
BELGIUM,2007,1
BELGIUM,2012,1
BELGIUM,2013,1
BELGIUM,2014,3
BELGIUM,2015,1
BELGIUM,2018,1
BRAZIL,1941,1
BRAZIL,1962,1
BRAZIL,1976,1
BRAZIL,1998,2
BRAZIL,1999,1
BRAZIL,2003,1
BRAZIL,2004,1
BRAZIL,2007,1
BRAZIL,2009,1
BRAZIL,2010,1
BRAZIL,2011,2
BRAZIL,2012,2
BRAZIL,2013,6
BRAZIL,2014,8
BRAZIL,2015,5
BRAZIL,2016,4
BRAZIL,2017,3
BRAZIL,2018,2
BRAZIL,2029,1
BRUNEI,1956,1
BRUNEI,2000,1
BRUNEI,2001,1
BRUNEI,2002,2
BRUNEI,2005,4
BRUNEI,2011,1
BRUNEI,2013,1
BRUNEI,2014,3
BRUNEI,2015,3
BRUNEI,2016,1
BULGARIA,1993,1
BULGARIA,1998,2
BULGARIA,2004,1
BULGARIA,2011,1
BULGARIA,2012,1
BULGARIA,2013,2
BULGARIA,2014,3
BULGARIA,2015,1
BULGARIA,2018,1
CANADA,1978,1
CANADA,1985,2
CANADA,1988,1
CANADA,1993,1
CANADA,1997,1
CANADA,2000,2
CANADA,2001,1
CANADA,2003,1
CANADA,2004,2
CANADA,2006,2
CANADA,2009,3
CANADA,2010,1
CANADA,2011,1
CANADA,2012,1
CANADA,2013,1
CANADA,2014,4
CANADA,2016,1
CANADA,2017,1
CANADA,2018,3
CHILE,1906,1
CHILE,1970,1
CHILE,1974,1
CHILE,1982,1
CHILE,1986,1
CHILE,1999,1
CHILE,2003,1
CHILE,2013,1
CHILE,2014,1
CHILE,2015,3
CHILE,2016,1
CHILE,2017,1
CHILE,2018,3
CHINA,1985,1
CHINA,1989,1
CHINA,1990,2
CHINA,1993,1
CHINA,1996,3
CHINA,1998,2
CHINA,1999,4
CHINA,2000,5
CHINA,2001,7
CHINA,2002,1
CHINA,2003,1
CHINA,2005,1
CHINA,2006,3
CHINA,2007,6
CHINA,2008,1
CHINA,2009,4
CHINA,2011,4
CHINA,2012,8
CHINA,2013,7
CHINA,2014,8
CHINA,2015,18
CHINA,2016,17
CHINA,2017,10
CHINA,2018,3
COLOMBIA,1999,2
COLOMBIA,2003,1
COLOMBIA,2006,1
COLOMBIA,2008,2
COLOMBIA,2010,2
COLOMBIA,2011,1
COLOMBIA,2012,1
COLOMBIA,2014,1
COLOMBIA,2015,5
COLOMBIA,2016,2
COLOMBIA,2017,3
COSTA RICA,2000,1
COSTA RICA,2008,2
COSTA RICA,2010,1
COSTA RICA,2012,1
COSTA RICA,2013,5
COSTA RICA,2015,3
COSTA RICA,2016,2
COSTA RICA,2017,1
COSTA RICA,2018,1
CROATIA,2007,2
CROATIA,2010,2
CROATIA,2011,2
CROATIA,2012,1
CROATIA,2013,1
CROATIA,2014,1
CROATIA,2015,1
CROATIA,2018,1
CYPRUS,2004,1
CYPRUS,2005,1
CYPRUS,2007,1
CYPRUS,2012,1
CYPRUS,2014,3
CYPRUS,2015,2
CYPRUS,2018,1
CZECH REPUBLIC,1999,1
CZECH REPUBLIC,2000,1
CZECH REPUBLIC,2002,1
CZECH REPUBLIC,2004,1
CZECH REPUBLIC,2013,1
CZECH REPUBLIC,2014,2
CZECH REPUBLIC,2015,2
CZECH REPUBLIC,2016,1
CZECH REPUBLIC,2017,1
CZECH REPUBLIC,2018,2
DENMARK,2002,2
DENMARK,2006,2
DENMARK,2007,1
DENMARK,2010,3
DENMARK,2011,3
DENMARK,2012,1
DENMARK,2013,1
DENMARK,2015,1
DENMARK,2017,1
ECUADOR,1998,1
ECUADOR,2008,1
ECUADOR,2010,3
ECUADOR,2012,4
ECUADOR,2013,3
ECUADOR,2014,4
ECUADOR,2015,4
ECUADOR,2016,1
ESTONIA,2004,2
ESTONIA,2005,1
ESTONIA,2009,2
ESTONIA,2011,1
ESTONIA,2012,1
ESTONIA,2013,2
ESTONIA,2014,1
ESTONIA,2015,1
ESTONIA,2017,1
ESTONIA,2018,1
EUROPEAN UNION,1995,1
EUROPEAN UNION,2000,1
EUROPEAN UNION,2001,2
EUROPEAN UNION,2002,2
EUROPEAN UNION,2003,1
EUROPEAN UNION,2004,1
EUROPEAN UNION,2006,2
EUROPEAN UNION,2007,1
EUROPEAN UNION,2008,1
EUROPEAN UNION,2009,2
EUROPEAN UNION,2010,1
EUROPEAN UNION,2011,1
EUROPEAN UNION,2012,1
EUROPEAN UNION,2013,2
EUROPEAN UNION,2014,3
EUROPEAN UNION,2015,2
EUROPEAN UNION,2016,1
EUROPEAN UNION,2017,3
EUROPEAN UNION,2018,8
FINLAND,1997,1
FINLAND,1999,1
FINLAND,2001,1
FINLAND,2002,2
FINLAND,2005,1
FINLAND,2006,1
FINLAND,2007,1
FINLAND,2011,2
FINLAND,2013,1
FINLAND,2014,1
FINLAND,2015,5
FINLAND,2017,1
FINLAND,2018,1
FRANCE,1997,1
FRANCE,2004,2
FRANCE,2006,2
FRANCE,2009,1
FRANCE,2011,5
FRANCE,2012,1
FRANCE,2013,8
FRANCE,2014,3
FRANCE,2015,3
FRANCE,2016,2
FRANCE,2017,1
FRANCE,2018,2
GERMANY,2001,1
GERMANY,2004,1
GERMANY,2007,2
GERMANY,2008,1
GERMANY,2009,3
GERMANY,2011,2
GERMANY,2012,2
GERMANY,2013,7
GERMANY,2014,2
GERMANY,2015,7
GERMANY,2016,2
GERMANY,2017,2
GERMANY,2018,1
GREECE,2002,1
GREECE,2003,1
GREECE,2005,1
GREECE,2006,2
GREECE,2010,1
GREECE,2011,3
GREECE,2013,1
GREECE,2014,5
GREECE,2015,1
GREECE,2017,1
GREECE,2018,1
HONG KONG,1963,1
HONG KONG,1981,1
HONG KONG,1996,1
HONG KONG,2007,1
HONG KONG,2011,2
HONG KONG,2014,1
HONG KONG,2015,1
HONG KONG,2016,2
HONG KONG,2018,5
HUNGARY,1991,1
HUNGARY,2001,1
HUNGARY,2004,2
HUNGARY,2007,2
HUNGARY,2010,1
HUNGARY,2012,1
HUNGARY,2013,2
HUNGARY,2014,1
HUNGARY,2015,3
HUNGARY,2017,2
HUNGARY,2018,1
ICELAND,1921,1
ICELAND,2000,1
ICELAND,2002,1
ICELAND,2011,1
ICELAND,2014,2
ICELAND,2015,1
ICELAND,2017,1
ICELAND,2018,1
INDIA,1946,2
INDIA,1957,1
INDIA,1996,1
INDIA,2000,3
INDIA,2002,1
INDIA,2003,1
INDIA,2005,2
INDIA,2008,1
INDIA,2009,1
INDIA,2010,10
INDIA,2011,5
INDIA,2012,8
INDIA,2013,11
INDIA,2014,10
INDIA,2015,8
INDIA,2016,1
INDIA,2017,3
INDIA,2018,9
INDONESIA,1999,1
INDONESIA,2001,1
INDONESIA,2002,1
INDONESIA,2003,3
INDONESIA,2007,1
INDONESIA,2008,5
INDONESIA,2009,6
INDONESIA,2010,1
INDONESIA,2011,1
INDONESIA,2012,7
INDONESIA,2013,5
INDONESIA,2014,11
INDONESIA,2015,3
INDONESIA,2016,10
INDONESIA,2017,4
INDONESIA,2018,4
IRELAND,2000,1
IRELAND,2011,1
IRELAND,2014,2
IRELAND,2015,1
IRELAND,2017,1
IRELAND,2018,1
ISRAEL,1953,1
ISRAEL,1957,1
ISRAEL,1975,1
ISRAEL,1981,1
ISRAEL,1982,1
ISRAEL,1991,2
ISRAEL,2001,1
ISRAEL,2003,1
ISRAEL,2007,2
ISRAEL,2008,2
ISRAEL,2010,1
ISRAEL,2013,3
ISRAEL,2014,1
ISRAEL,2015,1
ISRAEL,2016,3
ISRAEL,2018,2
ITALY,1941,1
ITALY,1972,1
ITALY,1998,2
ITALY,2003,2
ITALY,2009,1
ITALY,2010,3
ITALY,2012,1
ITALY,2013,1
ITALY,2014,5
ITALY,2015,1
ITALY,2017,2
ITALY,2018,2
JAPAN,1949,1
JAPAN,1978,1
JAPAN,1981,1
JAPAN,1984,1
JAPAN,2000,1
JAPAN,2001,1
JAPAN,2003,2
JAPAN,2004,2
JAPAN,2005,1
JAPAN,2008,1
JAPAN,2010,1
JAPAN,2012,2
JAPAN,2013,4
JAPAN,2014,1
JAPAN,2015,4
JAPAN,2016,3
JAPAN,2017,1
JAPAN,2018,1
KOREA,1961,1
KOREA,1983,2
KOREA,1996,1
KOREA,1998,3
KOREA,2000,1
KOREA,2005,2
KOREA,2007,2
KOREA,2008,2
KOREA,2009,3
KOREA,2011,4
KOREA,2012,5
KOREA,2013,5
KOREA,2014,9
KOREA,2015,6
KOREA,2016,3
KOREA,2018,3
LATVIA,2003,1
LATVIA,2004,1
LATVIA,2005,1
LATVIA,2012,1
LATVIA,2014,2
LATVIA,2015,1
LATVIA,2018,1
LITHUANIA,2003,1
LITHUANIA,2004,1
LITHUANIA,2006,3
LITHUANIA,2010,1
LITHUANIA,2012,1
LITHUANIA,2014,2
LITHUANIA,2015,2
LITHUANIA,2018,1
LUXEMBOURG,2000,1
LUXEMBOURG,2001,1
LUXEMBOURG,2008,2
LUXEMBOURG,2009,1
LUXEMBOURG,2012,1
LUXEMBOURG,2015,1
LUXEMBOURG,2017,1
LUXEMBOURG,2018,1
MALAYSIA,2006,2
MALAYSIA,2009,1
MALAYSIA,2010,2
MALAYSIA,2012,2
MALAYSIA,2013,4
MALAYSIA,2014,3
MALAYSIA,2015,12
MALAYSIA,2016,3
MALAYSIA,2017,2
MALAYSIA,2018,2
MALTA,2001,1
MALTA,2003,1
MALTA,2006,1
MALTA,2014,1
MALTA,2015,1
MALTA,2018,1
MEXICO,1947,1
MEXICO,1993,1
MEXICO,1995,1
MEXICO,1996,1
MEXICO,1997,1
MEXICO,2000,2
MEXICO,2002,1
MEXICO,2010,5
MEXICO,2012,2
MEXICO,2013,1
MEXICO,2014,5
MEXICO,2015,1
MEXICO,2016,1
MEXICO,2017,2
MEXICO,2018,1
NETHERLANDS,1994,2
NETHERLANDS,1995,1
NETHERLANDS,2001,1
NETHERLANDS,2011,1
NETHERLANDS,2013,3
NETHERLANDS,2014,2
NETHERLANDS,2015,2
NETHERLANDS,2018,1
NEW ZEALAND,1993,2
NEW ZEALAND,2004,1
NEW ZEALAND,2005,1
NEW ZEALAND,2008,2
NEW ZEALAND,2009,1
NEW ZEALAND,2010,1
NEW ZEALAND,2014,2
NEW ZEALAND,2015,1
NEW ZEALAND,2016,2
NIGERIA,2003,1
NIGERIA,2004,1
NIGERIA,2008,1
NIGERIA,2009,2
NIGERIA,2011,1
NIGERIA,2013,7
NIGERIA,2014,2
NIGERIA,2015,3
NIGERIA,2016,3
NIGERIA,2017,1
NIGERIA,2018,1
NORWAY,1997,1
NORWAY,2003,3
NORWAY,2005,1
NORWAY,2011,2
NORWAY,2012,1
NORWAY,2014,2
NORWAY,2015,1
NORWAY,2016,1
NORWAY,2017,1
NORWAY,2018,1
PAKISTAN,1946,1
PAKISTAN,1962,1
PAKISTAN,1996,2
PAKISTAN,2002,1
PAKISTAN,2005,3
PAKISTAN,2010,1
PAKISTAN,2013,2
PAKISTAN,2015,10
PAKISTAN,2016,4
PAKISTAN,2017,1
PAKISTAN,2018,1
PANAMA,1971,3
PANAMA,2008,2
PANAMA,2012,2
PANAMA,2014,2
PANAMA,2015,4
PANAMA,2018,1
PARAGUAY,1998,1
PARAGUAY,2011,1
PARAGUAY,2014,6
PARAGUAY,2015,2
PARAGUAY,2016,1
PARAGUAY,2017,1
PERU,1991,2
PERU,1996,1
PERU,2000,1
PERU,2006,2
PERU,2011,2
PERU,2013,3
PERU,2015,5
PERU,2017,2
PHILIPPINES,1974,2
PHILIPPINES,1998,1
PHILIPPINES,2000,1
PHILIPPINES,2010,2
PHILIPPINES,2012,3
PHILIPPINES,2015,15
PHILIPPINES,2016,2
PHILIPPINES,2018,2
POLAND,2002,1
POLAND,2003,2
POLAND,2004,1
POLAND,2008,1
POLAND,2009,1
POLAND,2010,1
POLAND,2012,1
POLAND,2013,1
POLAND,2014,1
POLAND,2015,1
POLAND,2017,1
POLAND,2018,1
PORTUGAL,1998,1
PORTUGAL,2004,2
PORTUGAL,2007,1
PORTUGAL,2010,1
PORTUGAL,2012,1
PORTUGAL,2013,1
PORTUGAL,2014,1
PORTUGAL,2015,2
PORTUGAL,2017,1
PORTUGAL,2018,1
ROMANIA,1996,2
ROMANIA,2001,1
ROMANIA,2002,4
ROMANIA,2007,1
ROMANIA,2009,1
ROMANIA,2010,1
ROMANIA,2012,1
ROMANIA,2014,4
ROMANIA,2015,2
ROMANIA,2018,1
RUSSIA,1992,1
RUSSIA,2001,1
RUSSIA,2002,4
RUSSIA,2003,1
RUSSIA,2006,1
RUSSIA,2007,6
RUSSIA,2008,6
RUSSIA,2010,1
RUSSIA,2011,3
RUSSIA,2012,3
RUSSIA,2013,3
RUSSIA,2014,9
RUSSIA,2015,8
RUSSIA,2016,6
RUSSIA,2017,4
RUSSIA,2018,6
RUSSIA,2019,1
SINGAPORE,1987,1
SINGAPORE,1996,2
SINGAPORE,2012,3
SINGAPORE,2013,5
SINGAPORE,2014,7
SINGAPORE,2015,3
SINGAPORE,2017,1
SINGAPORE,2018,2
SINGAPORE,2020,1
SLOVAKIA,1991,1
SLOVAKIA,2000,1
SLOVAKIA,2003,2
SLOVAKIA,2004,1
SLOVAKIA,2009,1
SLOVAKIA,2010,1
SLOVAKIA,2011,1
SLOVAKIA,2012,1
SLOVAKIA,2013,1
SLOVAKIA,2014,2
SLOVAKIA,2015,1
SLOVAKIA,2017,1
SLOVAKIA,2018,1
SLOVENIA,1995,1
SLOVENIA,2004,1
SLOVENIA,2005,2
SLOVENIA,2006,2
SLOVENIA,2011,1
SLOVENIA,2012,1
SLOVENIA,2014,2
SLOVENIA,2015,2
SLOVENIA,2017,1
SLOVENIA,2018,1
SOUTH AFRICA,1978,1
SOUTH AFRICA,2000,1
SOUTH AFRICA,2002,6
SOUTH AFRICA,2004,1
SOUTH AFRICA,2006,1
SOUTH AFRICA,2011,2
SOUTH AFRICA,2014,6
SOUTH AFRICA,2015,3
SOUTH AFRICA,2016,1
SOUTH AFRICA,2017,1
SOUTH AFRICA,2018,5
SPAIN,1998,1
SPAIN,2000,1
SPAIN,2002,1
SPAIN,2005,1
SPAIN,2006,1
SPAIN,2008,1
SPAIN,2011,1
SPAIN,2013,3
SPAIN,2014,3
SPAIN,2015,3
SPAIN,2017,1
SPAIN,2018,1
SWEDEN,1960,1
SWEDEN,1998,1
SWEDEN,1999,1
SWEDEN,2002,1
SWEDEN,2005,1
SWEDEN,2009,1
SWEDEN,2014,3
SWEDEN,2015,1
SWEDEN,2017,2
SWEDEN,2018,1
SWITZERLAND,1995,1
SWITZERLAND,2002,1
SWITZERLAND,2007,2
SWITZERLAND,2008,1
SWITZERLAND,2009,2
SWITZERLAND,2010,1
SWITZERLAND,2011,1
SWITZERLAND,2014,3
SWITZERLAND,2017,2
SWITZERLAND,2018,3
TAIWAN,1929,1
TAIWAN,1996,1
TAIWAN,1997,1
TAIWAN,1999,1
TAIWAN,2000,1
TAIWAN,2006,1
TAIWAN,2012,4
TAIWAN,2013,2
TAIWAN,2014,7
TAIWAN,2015,8
TAIWAN,2017,1
TAIWAN,2018,3
THAILAND,1925,1
THAILAND,1968,1
THAILAND,1979,1
THAILAND,1994,1
THAILAND,1999,2
THAILAND,2001,1
THAILAND,2005,1
THAILAND,2006,2
THAILAND,2007,2
THAILAND,2009,2
THAILAND,2010,1
THAILAND,2011,3
THAILAND,2013,1
THAILAND,2014,2
THAILAND,2015,5
THAILAND,2017,2
THAILAND,2018,5
TURKEY,1996,1
TURKEY,2000,1
TURKEY,2003,4
TURKEY,2004,1
TURKEY,2005,1
TURKEY,2007,1
TURKEY,2008,2
TURKEY,2012,3
TURKEY,2013,2
TURKEY,2014,4
TURKEY,2015,13
TURKEY,2016,7
TURKEY,2017,2
TURKEY,2018,3
UNITED KINGDOM,2001,2
UNITED KINGDOM,2002,2
UNITED KINGDOM,2006,1
UNITED KINGDOM,2010,1
UNITED KINGDOM,2012,2
UNITED KINGDOM,2014,2
UNITED KINGDOM,2015,4
UNITED KINGDOM,2016,2
UNITED KINGDOM,2017,3
UNITED KINGDOM,2018,1
UNITED STATES,1914,1
UNITED STATES,1933,1
UNITED STATES,1934,1
UNITED STATES,1961,1
UNITED STATES,1976,1
UNITED STATES,1978,1
UNITED STATES,1992,1
UNITED STATES,1998,1
UNITED STATES,1999,4
UNITED STATES,2008,2
UNITED STATES,2009,1
UNITED STATES,2011,1
UNITED STATES,2012,2
UNITED STATES,2013,3
UNITED STATES,2014,3
UNITED STATES,2015,2
UNITED STATES,2016,2
UNITED STATES,2017,2
UNITED STATES,2018,5
VIETNAM,2004,1
VIETNAM,2005,2
VIETNAM,2006,1
VIETNAM,2007,2
VIETNAM,2008,8
VIETNAM,2009,2
VIETNAM,2010,1
VIETNAM,2011,3
VIETNAM,2012,3
VIETNAM,2013,18
VIETNAM,2014,1
VIETNAM,2016,3
VIETNAM,2017,3
VIETNAM,2018,1
VIETNAM,2019,7
