iso2c,electronic_transactions_code,electronic_transactions_status,consumer_protection_code,consumer_protection_status,privacy_and_data_protection_code,privacy_and_data_protection_status,cybercrime_code,cybercrime_status,indirect_taxation_code,indirect_taxation_status,source_date_text
AD,1,legislation,3,no_legislation,1,legislation,1,legislation,1,legislation,17/02/2026
AE,1,legislation,1,legislation,1,legislation,1,legislation,1,legislation,17/02/2026
AF,1,legislation,3,no_legislation,3,no_legislation,1,legislation,3,no_legislation,17/02/2026
AG,1,legislation,1,legislation,1,legislation,1,legislation,3,no_legislation,17/02/2026
AL,1,legislation,1,legislation,1,legislation,1,legislation,1,legislation,17/02/2026
AM,1,legislation,3,no_legislation,1,legislation,1,legislation,1,legislation,17/02/2026
AO,1,legislation,3,no_legislation,1,legislation,1,legislation,1,legislation,17/02/2026
AR,1,legislation,1,legislation,1,legislation,1,legislation,1,legislation,17/02/2026
AT,1,legislation,1,legislation,1,legislation,1,legislation,1,legislation,17/02/2026
AU,1,legislation,1,legislation,1,legislation,1,legislation,1,legislation,17/02/2026
AZ,1,legislation,1,legislation,1,legislation,1,legislation,1,legislation,17/02/2026
BA,1,legislation,0,no_data,1,legislation,1,legislation,3,no_legislation,17/02/2026
BB,1,legislation,3,no_legislation,1,legislation,1,legislation,1,legislation,17/02/2026
BD,1,legislation,1,legislation,2,draft_legislation,1,legislation,1,legislation,17/02/2026
BE,1,legislation,1,legislation,1,legislation,1,legislation,1,legislation,17/02/2026
BF,1,legislation,3,no_legislation,1,legislation,1,legislation,3,no_legislation,17/02/2026
BG,1,legislation,1,legislation,1,legislation,1,legislation,1,legislation,17/02/2026
BH,1,legislation,1,legislation,1,legislation,1,legislation,1,legislation,17/02/2026
BI,2,draft_legislation,3,no_legislation,3,no_legislation,1,legislation,3,no_legislation,17/02/2026
BJ,1,legislation,1,legislation,1,legislation,1,legislation,1,legislation,17/02/2026
BN,1,legislation,1,legislation,3,no_legislation,1,legislation,3,no_legislation,17/02/2026
BO,1,legislation,3,no_legislation,1,legislation,3,no_legislation,1,legislation,17/02/2026
BR,1,legislation,1,legislation,1,legislation,1,legislation,1,legislation,17/02/2026
BS,1,legislation,2,draft_legislation,1,legislation,1,legislation,1,legislation,17/02/2026
BT,1,legislation,0,no_data,1,legislation,1,legislation,1,legislation,17/02/2026
BW,1,legislation,0,no_data,1,legislation,1,legislation,3,no_legislation,17/02/2026
BY,1,legislation,1,legislation,1,legislation,1,legislation,1,legislation,17/02/2026
BZ,1,legislation,0,no_data,1,legislation,1,legislation,3,no_legislation,17/02/2026
CA,1,legislation,1,legislation,1,legislation,1,legislation,1,legislation,17/02/2026
CD,1,legislation,1,legislation,1,legislation,1,legislation,3,no_legislation,17/02/2026
CF,3,no_legislation,0,no_data,3,no_legislation,3,no_legislation,3,no_legislation,17/02/2026
CG,3,no_legislation,3,no_legislation,1,legislation,1,legislation,3,no_legislation,17/02/2026
CH,1,legislation,3,no_legislation,1,legislation,1,legislation,1,legislation,17/02/2026
CI,1,legislation,1,legislation,1,legislation,1,legislation,1,legislation,17/02/2026
CL,1,legislation,1,legislation,1,legislation,1,legislation,1,legislation,17/02/2026
CM,1,legislation,1,legislation,1,legislation,1,legislation,1,legislation,17/02/2026
CN,1,legislation,1,legislation,1,legislation,1,legislation,3,no_legislation,17/02/2026
CO,1,legislation,1,legislation,1,legislation,1,legislation,1,legislation,17/02/2026
CR,1,legislation,1,legislation,1,legislation,1,legislation,1,legislation,17/02/2026
CU,2,draft_legislation,3,no_legislation,1,legislation,1,legislation,3,no_legislation,17/02/2026
CV,1,legislation,3,no_legislation,1,legislation,1,legislation,3,no_legislation,17/02/2026
CY,1,legislation,3,no_legislation,1,legislation,1,legislation,3,no_legislation,17/02/2026
CZ,1,legislation,1,legislation,1,legislation,1,legislation,3,no_legislation,17/02/2026
DE,1,legislation,1,legislation,1,legislation,1,legislation,1,legislation,17/02/2026
DJ,3,no_legislation,3,no_legislation,3,no_legislation,1,legislation,3,no_legislation,17/02/2026
DK,1,legislation,1,legislation,1,legislation,1,legislation,1,legislation,17/02/2026
DM,1,legislation,3,no_legislation,3,no_legislation,1,legislation,3,no_legislation,17/02/2026
DO,1,legislation,1,legislation,1,legislation,1,legislation,1,legislation,17/02/2026
DZ,1,legislation,1,legislation,1,legislation,1,legislation,3,no_legislation,17/02/2026
EC,1,legislation,1,legislation,1,legislation,1,legislation,1,legislation,17/02/2026
EE,1,legislation,1,legislation,1,legislation,1,legislation,1,legislation,17/02/2026
EG,1,legislation,1,legislation,1,legislation,1,legislation,1,legislation,17/02/2026
ER,3,no_legislation,0,no_data,3,no_legislation,3,no_legislation,3,no_legislation,17/02/2026
ES,1,legislation,1,legislation,1,legislation,1,legislation,1,legislation,17/02/2026
ET,1,legislation,1,legislation,1,legislation,1,legislation,3,no_legislation,17/02/2026
FI,1,legislation,1,legislation,1,legislation,1,legislation,1,legislation,17/02/2026
FJ,1,legislation,3,no_legislation,3,no_legislation,1,legislation,1,legislation,17/02/2026
FM,3,no_legislation,3,no_legislation,3,no_legislation,3,no_legislation,3,no_legislation,17/02/2026
FR,1,legislation,1,legislation,1,legislation,1,legislation,1,legislation,17/02/2026
GA,1,legislation,3,no_legislation,1,legislation,1,legislation,1,legislation,17/02/2026
GB,1,legislation,1,legislation,1,legislation,1,legislation,1,legislation,17/02/2026
GD,1,legislation,1,legislation,1,legislation,1,legislation,3,no_legislation,17/02/2026
GE,1,legislation,1,legislation,1,legislation,1,legislation,1,legislation,17/02/2026
GH,1,legislation,3,no_legislation,1,legislation,1,legislation,1,legislation,17/02/2026
GM,1,legislation,1,legislation,1,legislation,1,legislation,3,no_legislation,17/02/2026
GN,1,legislation,1,legislation,1,legislation,1,legislation,3,no_legislation,17/02/2026
GQ,3,no_legislation,3,no_legislation,1,legislation,3,no_legislation,3,no_legislation,17/02/2026
GR,1,legislation,1,legislation,1,legislation,1,legislation,3,no_legislation,17/02/2026
GT,1,legislation,1,legislation,1,legislation,1,legislation,1,legislation,17/02/2026
GW,1,legislation,3,no_legislation,3,no_legislation,3,no_legislation,3,no_legislation,17/02/2026
GY,1,legislation,1,legislation,1,legislation,1,legislation,3,no_legislation,17/02/2026
HN,1,legislation,1,legislation,1,legislation,1,legislation,3,no_legislation,17/02/2026
HR,1,legislation,1,legislation,1,legislation,1,legislation,1,legislation,17/02/2026
HT,1,legislation,3,no_legislation,3,no_legislation,3,no_legislation,3,no_legislation,17/02/2026
HU,1,legislation,1,legislation,1,legislation,1,legislation,1,legislation,17/02/2026
ID,1,legislation,1,legislation,1,legislation,1,legislation,1,legislation,17/02/2026
IE,1,legislation,1,legislation,1,legislation,1,legislation,1,legislation,17/02/2026
IL,1,legislation,3,no_legislation,1,legislation,1,legislation,1,legislation,17/02/2026
IN,1,legislation,1,legislation,1,legislation,1,legislation,1,legislation,17/02/2026
IQ,1,legislation,3,no_legislation,3,no_legislation,2,draft_legislation,3,no_legislation,17/02/2026
IR,1,legislation,1,legislation,1,legislation,1,legislation,3,no_legislation,17/02/2026
IS,1,legislation,1,legislation,1,legislation,1,legislation,3,no_legislation,17/02/2026
IT,1,legislation,1,legislation,1,legislation,1,legislation,1,legislation,17/02/2026
JM,1,legislation,3,no_legislation,1,legislation,1,legislation,3,no_legislation,17/02/2026
JO,1,legislation,1,legislation,1,legislation,1,legislation,3,no_legislation,17/02/2026
JP,1,legislation,1,legislation,1,legislation,1,legislation,1,legislation,17/02/2026
KE,1,legislation,1,legislation,1,legislation,1,legislation,1,legislation,17/02/2026
KG,1,legislation,1,legislation,1,legislation,1,legislation,3,no_legislation,17/02/2026
KH,1,legislation,1,legislation,1,legislation,2,draft_legislation,1,legislation,17/02/2026
KI,1,legislation,1,legislation,3,no_legislation,1,legislation,3,no_legislation,17/02/2026
KM,3,no_legislation,3,no_legislation,3,no_legislation,3,no_legislation,3,no_legislation,17/02/2026
KN,1,legislation,2,draft_legislation,1,legislation,1,legislation,3,no_legislation,17/02/2026
KP,1,legislation,1,legislation,0,no_data,1,legislation,3,no_legislation,17/02/2026
KR,1,legislation,1,legislation,1,legislation,1,legislation,1,legislation,17/02/2026
KW,1,legislation,1,legislation,1,legislation,1,legislation,3,no_legislation,17/02/2026
KZ,1,legislation,1,legislation,1,legislation,1,legislation,3,no_legislation,17/02/2026
LA,1,legislation,1,legislation,1,legislation,1,legislation,1,legislation,17/02/2026
LB,1,legislation,1,legislation,1,legislation,1,legislation,3,no_legislation,17/02/2026
LC,1,legislation,3,no_legislation,1,legislation,1,legislation,3,no_legislation,17/02/2026
LI,1,legislation,1,legislation,1,legislation,1,legislation,1,legislation,17/02/2026
LK,1,legislation,3,no_legislation,1,legislation,1,legislation,3,no_legislation,17/02/2026
LR,1,legislation,0,no_data,3,no_legislation,2,draft_legislation,3,no_legislation,17/02/2026
LS,2,draft_legislation,3,no_legislation,1,legislation,1,legislation,3,no_legislation,17/02/2026
LT,1,legislation,1,legislation,1,legislation,1,legislation,1,legislation,17/02/2026
LU,1,legislation,1,legislation,1,legislation,1,legislation,1,legislation,17/02/2026
LV,1,legislation,1,legislation,1,legislation,1,legislation,1,legislation,17/02/2026
LY,1,legislation,3,no_legislation,3,no_legislation,1,legislation,3,no_legislation,17/02/2026
MA,1,legislation,1,legislation,1,legislation,1,legislation,3,no_legislation,17/02/2026
MC,1,legislation,3,no_legislation,1,legislation,1,legislation,3,no_legislation,17/02/2026
MD,1,legislation,1,legislation,1,legislation,1,legislation,1,legislation,17/02/2026
ME,1,legislation,1,legislation,1,legislation,1,legislation,1,legislation,17/02/2026
MG,1,legislation,1,legislation,1,legislation,1,legislation,3,no_legislation,17/02/2026
MH,3,no_legislation,0,no_data,3,no_legislation,3,no_legislation,3,no_legislation,17/02/2026
MK,1,legislation,1,legislation,1,legislation,1,legislation,1,legislation,17/02/2026
ML,1,legislation,3,no_legislation,1,legislation,1,legislation,3,no_legislation,17/02/2026
MM,1,legislation,1,legislation,3,no_legislation,2,draft_legislation,3,no_legislation,17/02/2026
MN,1,legislation,1,legislation,1,legislation,1,legislation,3,no_legislation,17/02/2026
MR,1,legislation,0,no_data,1,legislation,1,legislation,3,no_legislation,17/02/2026
MT,1,legislation,1,legislation,1,legislation,1,legislation,1,legislation,17/02/2026
MU,1,legislation,1,legislation,1,legislation,1,legislation,1,legislation,17/02/2026
MV,1,legislation,3,no_legislation,2,draft_legislation,1,legislation,3,no_legislation,17/02/2026
MW,1,legislation,3,no_legislation,1,legislation,1,legislation,3,no_legislation,17/02/2026
MX,1,legislation,1,legislation,1,legislation,1,legislation,1,legislation,17/02/2026
MY,1,legislation,1,legislation,1,legislation,1,legislation,1,legislation,17/02/2026
MZ,1,legislation,1,legislation,3,no_legislation,1,legislation,3,no_legislation,17/02/2026
NA,1,legislation,3,no_legislation,2,draft_legislation,2,draft_legislation,3,no_legislation,17/02/2026
NE,1,legislation,3,no_legislation,1,legislation,1,legislation,3,no_legislation,17/02/2026
NG,1,legislation,3,no_legislation,1,legislation,1,legislation,1,legislation,17/02/2026
NI,1,legislation,3,no_legislation,1,legislation,1,legislation,3,no_legislation,17/02/2026
NL,1,legislation,1,legislation,1,legislation,1,legislation,1,legislation,17/02/2026
NO,1,legislation,1,legislation,1,legislation,1,legislation,1,legislation,17/02/2026
NP,1,legislation,2,draft_legislation,1,legislation,1,legislation,1,legislation,17/02/2026
NR,3,no_legislation,3,no_legislation,3,no_legislation,1,legislation,3,no_legislation,17/02/2026
NZ,1,legislation,1,legislation,1,legislation,1,legislation,1,legislation,17/02/2026
OM,1,legislation,1,legislation,1,legislation,1,legislation,1,legislation,17/02/2026
PA,1,legislation,1,legislation,1,legislation,1,legislation,3,no_legislation,17/02/2026
PE,1,legislation,1,legislation,1,legislation,1,legislation,3,no_legislation,17/02/2026
PG,1,legislation,3,no_legislation,3,no_legislation,1,legislation,3,no_legislation,17/02/2026
PH,1,legislation,1,legislation,1,legislation,1,legislation,1,legislation,17/02/2026
PK,1,legislation,3,no_legislation,2,draft_legislation,1,legislation,1,legislation,17/02/2026
PL,1,legislation,1,legislation,1,legislation,1,legislation,1,legislation,17/02/2026
PS,1,legislation,3,no_legislation,3,no_legislation,3,no_legislation,3,no_legislation,17/02/2026
PT,1,legislation,1,legislation,1,legislation,1,legislation,1,legislation,17/02/2026
PW,3,no_legislation,3,no_legislation,3,no_legislation,1,legislation,1,legislation,17/02/2026
PY,1,legislation,1,legislation,1,legislation,1,legislation,1,legislation,17/02/2026
QA,1,legislation,1,legislation,1,legislation,1,legislation,3,no_legislation,17/02/2026
RO,1,legislation,1,legislation,1,legislation,1,legislation,3,no_legislation,17/02/2026
RS,1,legislation,1,legislation,1,legislation,1,legislation,1,legislation,17/02/2026
RU,1,legislation,3,no_legislation,1,legislation,1,legislation,1,legislation,17/02/2026
RW,1,legislation,3,no_legislation,1,legislation,1,legislation,3,no_legislation,17/02/2026
SA,1,legislation,1,legislation,1,legislation,1,legislation,1,legislation,17/02/2026
SB,1,legislation,3,no_legislation,3,no_legislation,3,no_legislation,3,no_legislation,17/02/2026
SC,1,legislation,1,legislation,1,legislation,1,legislation,3,no_legislation,17/02/2026
SD,1,legislation,3,no_legislation,3,no_legislation,1,legislation,3,no_legislation,17/02/2026
SE,1,legislation,1,legislation,1,legislation,1,legislation,1,legislation,17/02/2026
SG,1,legislation,3,no_legislation,1,legislation,1,legislation,1,legislation,17/02/2026
SI,1,legislation,3,no_legislation,1,legislation,1,legislation,1,legislation,17/02/2026
SK,1,legislation,3,no_legislation,1,legislation,1,legislation,1,legislation,17/02/2026
SL,1,legislation,3,no_legislation,3,no_legislation,1,legislation,1,legislation,17/02/2026
SM,1,legislation,0,no_data,1,legislation,1,legislation,3,no_legislation,17/02/2026
SN,1,legislation,1,legislation,1,legislation,1,legislation,3,no_legislation,17/02/2026
SO,3,no_legislation,3,no_legislation,1,legislation,3,no_legislation,3,no_legislation,17/02/2026
SR,1,legislation,1,legislation,1,legislation,1,legislation,3,no_legislation,17/02/2026
SS,3,no_legislation,3,no_legislation,3,no_legislation,1,legislation,3,no_legislation,17/02/2026
ST,3,no_legislation,1,legislation,1,legislation,1,legislation,3,no_legislation,17/02/2026
SV,1,legislation,1,legislation,2,draft_legislation,1,legislation,3,no_legislation,17/02/2026
SY,1,legislation,1,legislation,1,legislation,1,legislation,3,no_legislation,17/02/2026
SZ,1,legislation,1,legislation,1,legislation,1,legislation,3,no_legislation,17/02/2026
TD,1,legislation,0,no_data,1,legislation,1,legislation,3,no_legislation,17/02/2026
TG,1,legislation,0,no_data,1,legislation,1,legislation,3,no_legislation,17/02/2026
TH,1,legislation,1,legislation,1,legislation,1,legislation,1,legislation,17/02/2026
TJ,1,legislation,0,no_data,1,legislation,1,legislation,1,legislation,17/02/2026
TL,1,legislation,1,legislation,3,no_legislation,1,legislation,3,no_legislation,17/02/2026
TM,1,legislation,1,legislation,1,legislation,1,legislation,3,no_legislation,17/02/2026
TN,1,legislation,1,legislation,1,legislation,1,legislation,3,no_legislation,17/02/2026
TO,1,legislation,0,no_data,3,no_legislation,1,legislation,3,no_legislation,17/02/2026
TR,1,legislation,1,legislation,1,legislation,1,legislation,1,legislation,17/02/2026
TT,1,legislation,0,no_data,1,legislation,1,legislation,3,no_legislation,17/02/2026
TV,3,no_legislation,3,no_legislation,3,no_legislation,3,no_legislation,3,no_legislation,17/02/2026
TZ,1,legislation,1,legislation,1,legislation,1,legislation,1,legislation,17/02/2026
UA,1,legislation,1,legislation,1,legislation,1,legislation,1,legislation,17/02/2026
UG,1,legislation,1,legislation,1,legislation,1,legislation,1,legislation,17/02/2026
US,1,legislation,1,legislation,1,legislation,1,legislation,1,legislation,17/02/2026
UY,1,legislation,1,legislation,1,legislation,1,legislation,1,legislation,17/02/2026
UZ,1,legislation,1,legislation,1,legislation,1,legislation,1,legislation,17/02/2026
VA,0,no_data,0,no_data,0,no_data,0,no_data,3,no_legislation,17/02/2026
VC,1,legislation,1,legislation,1,legislation,1,legislation,3,no_legislation,17/02/2026
VE,1,legislation,0,no_data,3,no_legislation,1,legislation,3,no_legislation,17/02/2026
VN,1,legislation,1,legislation,1,legislation,1,legislation,1,legislation,17/02/2026
VU,1,legislation,0,no_data,3,no_legislation,1,legislation,3,no_legislation,17/02/2026
WS,1,legislation,3,no_legislation,3,no_legislation,1,legislation,3,no_legislation,17/02/2026
YE,1,legislation,1,legislation,1,legislation,3,no_legislation,3,no_legislation,17/02/2026
ZA,1,legislation,1,legislation,1,legislation,1,legislation,1,legislation,17/02/2026
ZM,1,legislation,1,legislation,1,legislation,1,legislation,1,legislation,17/02/2026
ZW,2,draft_legislation,1,legislation,1,legislation,1,legislation,1,legislation,17/02/2026
